Show me list of courses,Course
Give me the list of all courses,Course
list all courses,Course
what all courses do you have,Course
what courses do you provide,Course
how to optin for course,Course
procedure to apply for course,Course
show my courses,my course
how many courses  I am enrolled in,My course
show my enrolled courses,My course
give me list of courses I have opted for,My course
give me all courses I have applied for ,My course
where to get course completion certificate,My course
I need to change my billing info?,Billing
make an account change,Billing
"I need to update my account, can you help?",Billing
how can I change my account details,Billing
can you chage my profile to have my latest address,Billing
how do I update billing settings,Billing
Can I change my credit card,Billing
I see two charges on my account,Billing
where is the security code on my credit card,Billing
my billing info is wrong,Billing
can you help me update my billing information,Billing
my billing info is out of date,Billing
can you tell me the cost of the item I purchased,Billing
how much did you charge me,Billing
why was I charged that much,Billing
how can I switch billing preferences,Billing
where do I update my account information for payments,Billing
how do I change payment options,Billing
How can I set up a corporate account?,Billing
Will I be charged tax on the order?,Billing
i forgot my password,Password Help
i want to reset my password,Password Help
i cant remember my login,Password Help
My password doesnt work,Password Help
cant login,Password Help
unable to login,Password Help
can I reset my password,Password Help
where do I got to find my password,Password Help
I forgot my credentials,Password Help
I cant login,Password Help
please reset me,Password Help
whats my PW,Password Help
do you have a way to reset my PW remotely?,Password Help
I cant figure out my user name /passoword combo,Password Help
I hit the limits on my password,Password Help
my account is locked,Password Help
my password is locked?,Password Help
I cant sing in?,Password Help
how do I log in?,Password Help
can I change privacy settings,Password Help
i forgot my username,Password Help
can you help me reset my password,Password Help
i cant remember my login,Password Help
login problems,Password Help
login not working for me,Password Help
need to reset my password,Password Help
Thanks bot,Thanks
Thanks for that,Thanks
cheers,Thanks
cheers bro,Thanks
ok thanks!,Thanks
perfect thank you,Thanks
thanks a bunch for everything,Thanks
thanks for the help,Thanks
thanks a lot,Thanks
"amazing, thanks",Thanks
"cool, thanks",Thanks
cool thank you,Thanks
Hey bot,Greet
Hello,Greet
Good morning,Greet
hi again,Greet
hi folks,Greet
hi Mister,Greet
hi pal!,Greet
hi there,Greet
greetings,Greet
hello everybody,Greet
hello is anybody there,Greet
hello robot,Greet
Hi,Greet
Hey,Greet
Hi bot,Greet
Bye bot,Good Bye
Goodbye friend,Good Bye
bye,Good Bye
bye for now,Good Bye
catch you later,Good Bye
gotta go,Good Bye
See you,Good Bye
goodnight,Good Bye
have a nice day,Good Bye
im off,Good Bye
see you later alligator,Good Bye
well speak soon,Good Bye
Bye,Good Bye
Goodbye,Good Bye
See you later,Good Bye
yes,Affirm
yes sure,Affirm
absolutely,Affirm
for sure,Affirm
yes yes yes,Affirm
definitely,Affirm
Thanks,Thanks
Thank you,Thanks
Thank you so much,Thanks
can you help me,Help
I need you right now,Help
I need your help,Help
assistance,Help
do you want to help me,Help
I want your help,Help
can help me,Help
I need you to help me,Help
I need help,Help
youre so out of your mind,Crazy
youre nuts,Crazy
are you insane,Crazy
you are crazy,Crazy
are you nuts,Crazy
you went crazy,Crazy
how crazy you are,Crazy
you are mad,Crazy
are you mad,Crazy
you are a weirdo,Crazy
you are wired,Crazy
